id,Medication_code_codingPharmazentralnummer_code,Medication_code_codingPharmazentralnummer_system,Medication_code_codingPharmazentralnummer_version,Medication_code_codingAtcclassde_code,Medication_code_codingAtcclassde_system,Medication_code_codingAtcclassde_version,Medication_code_codingAtcclassen_code,Medication_code_codingAtcclassen_system,Medication_code_codingAtcclassen_version,Medication_ingredient_extensionWirkstoffrelation_extensionIngredientreference_value_X_Valuereference_reference,Medication_ingredient_extensionWirkstoffrelation_extensionIngredienturi_value_X_Valueuri,Medication_ingredient_extensionWirkstofftyp_value_X_Valuecoding_system,Medication_ingredient_extensionWirkstofftyp_value_X_Valuecoding_code,Medication_ingredient_extensionWirkstofftyp_value_X_Valuecoding_version,Medication_ingredient_isActive,Medication_ingredient_item_X_Itemcodeableconcept_codingAsk_code,Medication_ingredient_item_X_Itemcodeableconcept_codingAsk_system,Medication_ingredient_item_X_Itemcodeableconcept_codingAsk_version,Medication_ingredient_item_X_Itemcodeableconcept_codingCas_code,Medication_ingredient_item_X_Itemcodeableconcept_codingCas_system,Medication_ingredient_item_X_Itemcodeableconcept_codingCas_version,Medication_ingredient_item_X_Itemcodeableconcept_codingSnomed_code,Medication_ingredient_item_X_Itemcodeableconcept_codingSnomed_system,Medication_ingredient_item_X_Itemcodeableconcept_codingSnomed_version,Medication_ingredient_item_X_Itemcodeableconcept_codingUnii_code,Medication_ingredient_item_X_Itemcodeableconcept_codingUnii_system,Medication_ingredient_item_X_Itemcodeableconcept_codingUnii_version,Medication_ingredient_item_X_Itemreference_reference,Medication_ingredient_strength_denominator_code,Medication_ingredient_strength_denominator_comparator,Medication_ingredient_strength_denominator_system,Medication_ingredient_strength_denominator_unit,Medication_ingredient_strength_denominator_value,Medication_ingredient_strength_numerator_code,Medication_ingredient_strength_numerator_comparator,Medication_ingredient_strength_numerator_system,Medication_ingredient_strength_numerator_unit,Medication_ingredient_strength_numerator_value
3bda091416d7adf618f8d511c061c5bb,,,,L01BC02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,07374,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,20,mg,,http://unitsofmeasure.org,mg,1000
fa454b59b8ac8b0b8a17a0afb58a2d1c,,,,J01CA04,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,13209,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,500
ab688c109d7c90fd68deeeb48cfd5743,,,,J01CR02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,13209,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,100,mg,,http://unitsofmeasure.org,mg,1000
ab688c109d7c90fd68deeeb48cfd5743,,,,J01CR02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,21871,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,100,mg,,http://unitsofmeasure.org,mg,200
b296bb15e9f8ecdd19562d50c399ec73,06312077,http://fhir.de/CodeSystem/ifa/pzn,,B01AC06,http://fhir.de/CodeSystem/bfarm/atc,2023,,,,,,,,,,00002,http://fhir.de/CodeSystem/ask,,,,,,,,,,,,10219000,,http://standardterms.edqm.eu,Tablet,1,mg,,http://unitsofmeasure.org,milligram,100
257bb43aa516c3530e81072252675fc9,,,,C10AA05,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,28860,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,40
f40d5b8a2f423703405d8acd73c86e71,,,,L01XA02,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,23168,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,45,mg,,http://unitsofmeasure.org,mg,450
0c1f08987ba1856504b29cc1e9a1fbb1,,,,L01XA01,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,15579,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,ml,,http://unitsofmeasure.org,ml,75,mg,,http://unitsofmeasure.org,mg,75
76b7d84ed6d7d63117237d443ed579d7,,,,J01FA09,http://fhir.de/CodeSystem/bfarm/atc,2024,,,,,,,,,,23929,http://fhir.de/CodeSystem/ask,20260105,,,,,,,,,,,1,,http://unitsofmeasure.org,1,1,mg,,http://unitsofmeasure.org,mg,250
ab161fd000f0c31957776ec876a24bb7,15205222,http://fhir.de/CodeSystem/ifa/pzn,,J01XA04,http://fhir.de/CodeSystem/bfarm/atc,2023,,,,,,,,,,33395,http://fhir.de/CodeSystem/ask,,,,,703917001,http://snomed.info/sct,http://snomed.info/sct/900000000000207008/version/20230731,808UI9MS5K,http://fdasis.nlm.nih.gov,,,,,,,,,,,,
